event,split,step,wallclock_seconds,loss,ppl,lr,tokens_seen,step_time_seconds,eval_time_seconds,checkpoint_path,message
metric,train,1,2.8531019579968415,9.27107048034668,10626.120853753371,2.9999999999999997e-06,16384,2.853101290995255,,,
metric,train,20,47.226878165995004,8.487577438354492,4854.092479618768,5.9999999999999995e-05,327680,2.076633083022898,,,
metric,train,40,89.70296466597938,7.226129055023193,1374.8900661634102,0.00011999999999999999,655360,2.1004311249998864,,,
metric,train,60,131.9103114999889,5.9403486251831055,380.06740751375776,0.00017999999999999998,983040,2.0830639580090065,,,
metric,train,80,174.43470974999946,5.092641830444336,162.8194357154603,0.00023999999999999998,1310720,2.219256167009007,,,
metric,train,100,222.27762199999415,4.409308433532715,82.21258837069499,0.0003,1638400,2.4464221250091214,,,
metric,val,100,239.06536679097917,4.358640384674072,78.15080712225266,,1638400,,16.77673904201947,,
metric,train,120,285.5121695410053,3.965178966522217,52.72970539724985,0.0002999514193099813,1966080,2.26306175001082,,,
metric,train,140,331.3603199579811,3.707799196243286,40.76399418203348,0.0002998057122041243,2293760,2.3067650409939233,,,
metric,train,160,381.60398495799745,3.4990954399108887,33.08551058644434,0.00029956298354986223,2621440,2.4127081670158077,,,
metric,train,180,429.55492054100614,3.3044893741607666,27.234631331155164,0.0002992234080423879,2949120,2.5182321250031237,,,
metric,train,200,486.98249458300415,3.272304058074951,26.37203209009936,0.00029878723007892294,3276800,2.4868618750188034,,,
metric,val,200,503.8140731249878,3.239185166358948,25.512924486195235,,3276800,,16.813723041006597,,
checkpoint,,200,504.85038024999085,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,220,553.1960126250051,3.1247310638427734,22.753774957801173,0.0002982547635828221,3604480,2.3896989579952788,,,
metric,train,240,600.9081495410064,3.00577712059021,20.20190931712689,0.0002976263917776378,3932160,2.36926500001573,,,
metric,train,260,648.9476747500012,3.04750919342041,21.062815630411066,0.00029690256691130895,4259840,2.3851387500180863,,,
metric,train,280,698.8429278749973,2.9209628105163574,18.55914780298335,0.00029608380993067216,4587520,2.4607577090209816,,,
metric,train,300,747.9062172909908,2.8974528312683105,18.127911662156897,0.00029517071010652846,4915200,2.4249457090045325,,,
metric,val,300,764.6180141249788,2.8805301785469055,17.823720429223986,,4915200,,16.69911712501198,,
metric,train,320,813.4829747499898,2.8310046195983887,16.962493120645814,0.0002941639246095374,5242880,2.445332542003598,,,
metric,train,340,862.7858114579867,2.7934510707855225,16.337303817785184,0.0002930641780372417,5570560,2.4401347920065746,,,
metric,train,360,912.6789972909901,2.772968292236328,16.00607427267765,0.00029187226189256486,5898240,2.461826291983016,,,
metric,train,380,962.3597952499986,2.782240390777588,16.155174337641377,0.00029058903401415505,6225920,2.4581279999983963,,,
metric,train,400,1012.3106111660018,2.746184825897217,15.583066219066657,0.00028921541795898687,6553600,2.0548194170114584,,,
metric,val,400,1027.2258204160025,2.707095003128052,14.985678871233107,,6553600,,14.897262374986894,,
checkpoint,,400,1027.8667210830026,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,420,1083.0317499999946,2.616633176803589,13.689555595632514,0.0002877524023376644,6881280,2.941657999996096,,,
metric,train,440,1129.3452295000025,2.662703037261963,14.334984775186323,0.00028620104010290465,7208960,2.055938249977771,,,
metric,train,460,1178.8413203749806,2.605440855026245,13.53719192654503,0.0002845624477917125,7536640,2.495632249978371,,,
metric,train,480,1227.2457794999937,2.6425516605377197,14.049006204997987,0.0002828378047217937,7864320,2.9859805000014603,,,
metric,train,500,1276.4485687499982,2.6485214233398438,14.133126278266623,0.0002810283521427834,8192000,2.121936708019348,,,
metric,val,500,1290.9922322499915,2.5773208498954774,13.161828366816783,,8192000,,14.52659812499769,,
metric,train,520,1335.3372661249887,2.5597987174987793,12.933213823905914,0.00027913539234290157,8519680,2.2962488339981064,,,
metric,train,540,1382.2163168329862,2.549729347229004,12.803637973572393,0.0002771602877116779,8847360,2.389622832997702,,,
metric,train,560,1431.8689669999876,2.6008975505828857,13.475827845719529,0.00027510445975942115,9175040,2.407208416989306,,,
metric,train,580,1479.4518577909912,2.5323688983917236,12.583279368122781,0.00027296938809413845,9502720,2.3347179160045926,,,
metric,train,600,1527.2413988329936,2.5300559997558594,12.554209149631157,0.00027075660935664076,9830400,2.4219116250169463,,,
metric,val,600,1544.689536291,2.455465030670166,11.651850757164125,,9830400,,17.43754537499626,,
checkpoint,,600,1545.5439500409993,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,620,1598.7654127079877,2.4137961864471436,11.176308065013798,0.0002684677161146011,10158080,2.408036834007362,,,
metric,train,640,1649.9020445409988,2.3700478076934814,10.697903713987467,0.0002661043557163613,10485760,2.7063375420111697,,,
metric,train,660,1701.114839582995,2.4627950191497803,11.737572474771998,0.00026366822910531257,10813440,2.631677541008685,,,
metric,train,680,1753.7159126659972,2.407510757446289,11.10628048142777,0.000261161089595703,11141120,2.7034040830039885,,,
metric,train,700,1805.1721673329885,2.5032639503479004,12.222321979083478,0.00025858474161075253,11468800,2.582884709001519,,,
metric,val,700,1822.4793912500027,2.405303120613098,11.081788891771907,,11468800,,17.293924291996518,,
metric,train,720,1873.8899249999959,2.378237724304199,10.785878414304818,0.00025594103938398466,11796480,2.5797097500180826,,,
metric,train,740,1924.5054249579844,2.3227996826171875,10.204202881389971,0.00025323188562470874,12124160,2.5105776249838527,,,
metric,train,760,1976.9069000000018,2.365964889526367,10.654314095540146,0.0002504592301486135,12451840,2.977357707975898,,,
metric,train,780,2030.5785359159927,2.267408847808838,9.654352479482537,0.0002476250684744578,12779520,2.655071000015596,,,
